date,vlog,blog,isPartial
2022-09-25,15,73,False
2022-09-26,24,97,False
2022-09-27,21,82,False
2022-09-28,24,97,False
2022-09-29,18,100,False
2022-09-30,13,88,False
2022-10-01,15,58,False
2022-10-02,18,54,False
2022-10-03,24,78,False
2022-10-04,18,90,False
2022-10-05,20,84,False
2022-10-06,29,99,False
2022-10-07,26,59,False
2022-10-08,22,61,False
2022-10-09,23,61,False
2022-10-10,20,74,False
2022-10-11,19,67,False
2022-10-12,19,89,False
2022-10-13,29,92,False
2022-10-14,18,68,False
2022-10-15,19,73,False
2022-10-16,24,57,False
2022-10-17,16,78,False
2022-10-18,18,82,False
2022-10-19,16,80,False
2022-10-20,22,95,False
2022-10-21,24,76,False
2022-10-22,18,56,False
2022-10-23,18,73,False
2022-10-24,13,81,False
2022-10-25,21,88,False
2022-10-26,22,72,False
2022-10-27,16,96,False
2022-10-28,16,76,False
2022-10-29,19,84,False
2022-10-30,13,59,False
2022-10-31,21,81,False
2022-11-01,23,76,False
2022-11-02,29,81,False
2022-11-03,22,68,False
2022-11-04,30,70,False
2022-11-05,35,49,False
2022-11-06,24,66,False
2022-11-07,25,77,False
2022-11-08,18,81,False
2022-11-09,29,59,False
2022-11-10,25,68,False
2022-11-11,23,77,False
2022-11-12,28,67,False
2022-11-13,19,73,False
2022-11-14,26,76,False
2022-11-15,17,79,False
2022-11-16,19,80,False
2022-11-17,28,72,False
2022-11-18,24,78,False
2022-11-19,22,61,False
2022-11-20,15,63,False
2022-11-21,16,56,False
2022-11-22,14,62,False
2022-11-23,14,72,False
2022-11-24,10,90,False
2022-11-25,17,61,False
2022-11-26,26,54,False
2022-11-27,15,47,False
2022-11-28,24,68,False
2022-11-29,28,73,False
2022-11-30,18,70,False
2022-12-01,22,66,False
2022-12-02,24,60,False
2022-12-03,15,67,False
2022-12-04,20,61,False
2022-12-05,21,59,False
2022-12-06,13,77,False
2022-12-07,12,82,False
2022-12-08,14,91,False
2022-12-09,11,73,False
2022-12-10,17,59,False
2022-12-11,21,70,False
2022-12-12,14,81,False
2022-12-13,8,56,False
2022-12-14,27,60,False
2022-12-15,17,68,False
2022-12-16,22,63,False
2022-12-17,18,56,False
2022-12-18,10,47,False
2022-12-19,18,52,False
2022-12-20,18,54,False
2022-12-21,20,57,False
2022-12-22,16,53,False
2022-12-23,13,65,False
2022-12-24,18,53,False
2022-12-25,18,55,False
